school_name,level,school_type,ode_school_id,nces_school_id,street_address,city,zip_code,latitude,longitude,is_closure_candidate,closure_rank,is_title_i,is_urm_building,urm_retrofit_cost_usd,retrofit_cost_remaining_usd,seismic_retrofit_status,recent_boundary_change,programs,has_dli,dli_languages,has_focus_option,dli_students_2526,neighborhood_students_2526,pct_dli_2526,year_built,square_feet,construction_type_2009,functional_capacity_2021,utilization_pct_2526,enrollment_2024_25,enrollment_2025_26,enrollment_pct_change,enrollment_2018,enrollment_2019,enrollment_2020,enrollment_2021,enrollment_2022,enrollment_2023,ccd_enrollment_2022,pct_ela_prof_2425,pct_math_prof_2425,pct_ela_prof_2324,pct_math_prof_2324,n_ela_participants_2425,n_math_participants_2425,pct_regular_attenders_2425,pct_experienced_teachers_2425,pct_teacher_retention_2425,class_size_2425,crdc_lep_2020,crdc_idea_2020,crdc_chronic_absent_2020,pct_lep,pct_idea,teachers_fte_2021,students_per_teacher_2021,teachers_fte_2023,students_per_teacher_2023,airflow_rooms_tested,airflow_ach_e_median,airflow_pct_below_3_ach,airflow_pct_below_6_ach,airflow_filter_upgraded,counselors_fte_2021,social_workers_fte_2021,psychologists_fte_2021,nurses_fte_2021,suspensions_2021,chronic_absent_2021,enrollment_crdc_2021,frl_free_lunch,frl_reduced_lunch,frl_direct_certification,pct_free_lunch,pct_frl,pct_direct_cert,pct_ai_an,pct_asian,pct_nhpi,pct_black,pct_hispanic,pct_white,pct_multiracial,affordable_units_within_1mi,pipeline_affordable_units_within_1mi,pipeline_family_units_within_1mi,n_pipeline_projects_within_1mi,permits_units_within_1mi_since_2022,n_permits_within_1mi_since_2022,bli_forecast_units_within_catchment,prc_baseline_2024_25,enrollment_forecast_2025_26,enrollment_forecast_2026_27,enrollment_forecast_2027_28,enrollment_forecast_2028_29,enrollment_forecast_2029_30,enrollment_forecast_2030_31,enrollment_forecast_2031_32,enrollment_forecast_2032_33,enrollment_forecast_2033_34,enrollment_forecast_2034_35,enrollment_forecast_pct_change_10yr,enrollment_forecast_2034_35_low,enrollment_forecast_2034_35_high,pct_bipoc,avg_prof_2425,pct_chronic_absent_2021,suspensions_per_100_2021,support_staff_per_100,service_load,prof_residual,cluster_id,pca_x,pca_y,enrollment_pct_change_7yr,utilization_pct_2034_35,nearest_alt_school_mi,nearest_alt_school_name
Woodstock Elementary School,elementary,Regular School,904,411004000954,5601 SE 50th Ave,Portland,97206,45.4821,-122.612,false,,false,false,255000,8252500,,,Chinese DLI,true,Chinese,false,190,176,0.5177,1910,69135,Wood,648,0.5648,393,366,-0.0687,548,543,528,479,491,451,491,63.9,62.1,61.9,55.6,233,232,86,97,93,19.5,80,51,23,0.2186,0.1393,28,17.07,28,16.11,51,2.1,0.8039,0.9804,true,2,0,0,0.25,27,95,478,103,23,46,0.2098,0.2566,0.0937,0,0.22951,0,0.02459,0.09016,0.46175,0.19399,0,0,0,0,191,78,2815.1,394,357,334,308,305,304,312,314,315,314,311,-0.2106598984771573,270,380,0.53825,63,0.1987,5.65,0.418,0.7698,16.21,2,-0.283,-0.649,-0.3321,0.4799,,
Astor Elementary School,k8,Regular School,827,411004000870,5601 N Yale St,Portland,97203,45.5788,-122.7297,false,,false,false,,5060000,,,,false,,false,,,,1949,47360,Wood,559,0.7174,413,401,-0.0291,434,416,395,393,368,375,368,54.7,46.7,52.8,47.5,277,272,71,89,89,25,15,75,76,0.0374,0.187,26,15.08,24,15.62,42,1.45,0.7381,0.9048,true,1.5,0.5,0,0.25,9,154,392,237,0,54,0.644,0.644,0.1467,0.02993,0.01496,0.00249,0.06983,0.14963,0.59352,0.13965,293,0,0,0,177,114,3606.8,408,399,410,395,386,429,415,410,398,383,382,-0.0637254901960784,332,466,0.40647999999999995,50.7,0.3929,2.3,0.51,0.6703,-7.85,2,-0.502,-0.54,-0.076,0.6834,,
Harriet Tubman Middle School,middle,Regular School,894,411004001315,2231 N Flint,Portland,97227,45.539001,-122.668809,false,,true,false,,11317500,targeted,DBRAC 2018,Chinese DLI,true,Chinese,false,48,355,0.1194,1954,94775,Concrete,732,0.5505,329,403,0.2249,491,429,444,387,360,321,360,46.8,45.2,37.2,32.4,314,309,64,93,79,22,27,66,161,0.067,0.1638,30,12.87,24,13.38,78,2.6,0.5974,0.961,true,2,0.5,0,0.25,162,189,386,233,0,75,0.6472,0.6472,0.2083,0.00744,0.02233,0,0.25062,0.15633,0.43176,0.13151,3792,600,202,12,941,273,21993,328,356,374,375,343,319,302,314,301,282,272,-0.1707317073170731,234,292,0.5682400000000001,46,0.4896,41.97,0.648,0.7183,1.89,3,-0.014,3.785,-0.1792,0.3716,,
Kelly Elementary School,elementary,Regular School,864,411004000909,9030 SE Cooper St,Portland,97266,45.4729,-122.5704,false,,true,true,1925000,8745000,planned_targeted,,Russian DLI,true,Russian,false,143,268,0.3479,1952,82895,Wood,670,0.6134,385,411,0.0675,498,476,424,381,355,377,355,29.7,29,28.6,19.9,200,198,54,88,82,22,181,66,140,0.4404,0.1606,31,12.13,26,14.5,71,3,0.4648,0.8169,true,2,0,0,0.23,81,218,376,296,0,116,0.8338,0.8338,0.3268,0.0073,0.09732,0.0146,0.10949,0.22871,0.47445,0.06813,400,30,30,1,70,31,3680.3,385,399,382,349,343,344,333,334,336,346,344,-0.1064935064935064,299,420,0.52555,29.35,0.5798,21.54,0.532,1.3889,-18.57,1,2.237,1.207,-0.1747,0.5134,,
Beaumont Middle School,middle,Regular School,831,411004000874,4043 NE Fremont St,Portland,97212,45.5489,-122.6208,false,,false,false,,19252500,,,Spanish DLI,true,Spanish,false,101,315,0.2428,1926,94431,LRCW,701,0.5934,435,416,-0.0437,571,573,518,469,446,434,446,65.1,60.5,60,53.9,418,417,78,96,77,26,67,80,114,0.1611,0.1923,28,16.64,28,15.5,72,3.35,0.4028,0.875,true,2,0.5,0,0.27,294,153,466,290,0,58,0.6502,0.6502,0.13,0.0024,0.00721,0.0024,0.03846,0.23798,0.58654,0.125,747,84,60,1,220,118,8004.8,435,414,426,445,445,452,442,448,431,402,401,-0.0781609195402298,344,431,0.41346000000000005,62.8,0.3283,63.09,0.536,0.8524,4.87,2,-0.568,-0.276,-0.2715,0.572,,
Rose City Park,elementary,Regular School,5427,411004001868,2334 NE 57th Ave,Portland,97212,45.539379,-122.604594,false,,false,true,20910000,21100000,planned_full,,Vietnamese DLI,true,Vietnamese,false,207,210,0.4964,1912,72053,URM,636,0.6557,448,417,-0.0692,531,538,527,466,467,464,467,52.9,56.4,57.6,59.5,228,224,80,86,90,20,92,73,67,0.2206,0.1751,28,16.43,29,16,44,3.15,0.4318,0.9091,true,2,0,0,0.27,21,122,460,301,0,53,0.6445,0.6445,0.1135,0.00719,0.32134,0.00959,0.02158,0.07914,0.45803,0.10312,300,0,0,0,78,55,3818.2,446,421,404,395,381,390,397,407,416,418,418,-0.0627802690582959,363,510,0.5419700000000001,54.65,0.2652,4.57,0.435,0.8822,8.19,2,-0.107,-0.483,-0.2147,0.6572,,
Harrison Park School,middle,Regular School,842,411004000885,2225 SE 87th Ave,Portland,97216,45.506762,-122.574963,false,,true,false,,13182500,targeted,SEGC 2023,Chinese DLI,true,Chinese,false,111,309,0.2649,1949,109059,Wood,1006,0.4175,372,420,0.129,659,637,596,545,573,321,573,48.8,40.5,50.9,33.2,380,383,77,74,66,22.5,195,101,90,0.4643,0.2405,41,12.83,24,13.38,82,,,,true,2,1,0,0.25,156,297,526,377,0,231,0.6579,0.6579,0.4031,0.00238,0.2119,0.03333,0.12619,0.14762,0.35714,0.12143,784,200,76,4,539,251,17168.8,372,403,419,423,439,436,410,384,372,367,368,-0.010752688172043,316,395,0.64286,44.65,0.5646,29.66,0.57,1.7008,7.2,1,2.956,2.041,-0.3627,0.3658,,
Bridlemile Elementary School,elementary,Regular School,835,411004000878,4300 SW 47th Dr,Portland,97221,45.4918,-122.7243,false,,false,false,25000,11450000,targeted,,,false,,false,,,,1958,58057,Wood,645,0.6558,418,423,0.012,518,508,437,435,458,446,458,77.9,73.7,76.4,71.2,213,213,84,88,86,20,21,63,36,0.0496,0.1489,25,17.4,25,17.84,61,1.5,0.7705,0.918,true,1,0,0,0.25,15,102,435,54,6,21,0.1179,0.131,0.0459,0.00473,0.03783,0,0.0331,0.09456,0.70922,0.12057,97,0,0,0,23,23,3836.3,419,407,388,369,359,353,366,371,377,382,379,-0.0954653937947494,329,463,0.29078000000000004,75.80000000000001,0.2345,3.45,0.23,0.4926,6.92,2,-1.561,-1.041,-0.1834,0.5876,,
da Vinci Middle School,middle,Regular School,1363,411004001079,2508 NE Everett,Portland,97232,45.5246,-122.6402,false,,false,false,,20742500,,,,false,,false,,,,1928,91876,LRCW,714,0.6008,427,429,0.0047,456,450,443,415,434,406,434,64.7,33.4,57.1,37.6,399,392,67,85,85,28,2,68,70,0.0047,0.1585,22,18.86,24,16.92,68,2.5,0.5294,0.8824,true,2,0,0,0.27,55,137,415,130,18,45,0.2995,0.341,0.1037,0.00699,0.00932,0,0.05128,0.17249,0.64103,0.11888,1521,569,176,12,900,71,24153.8,427,433,440,441,436,426,408,391,375,367,354,-0.1709601873536299,304,380,0.35897,49.05,0.3301,13.25,0.482,0.507,-13.74,3,-1.591,1.799,-0.0592,0.4958,,
Mt Tabor Middle School,middle,Regular School,877,411004000922,5800 SE Ash St,Portland,97215,45.521059,-122.604261,false,,false,false,4900000,11707500,targeted,,Japanese DLI,true,Japanese,false,222,208,0.5163,1952,83076,Wood,682,0.6305,466,430,-0.0773,741,724,721,645,606,504,606,68,63,71.2,60.7,462,459,77,100,84,27,28,89,73,0.0651,0.207,32,20.06,27,18.67,64,2.75,0.5938,0.9531,true,3,0.5,0,0.25,24,155,642,76,16,26,0.1254,0.1518,0.0429,0,0.05116,0,0.02093,0.10465,0.55814,0.26512,941,0,0,0,245,78,8080.5,467,424,408,398,394,376,374,361,358,347,349,-0.2526766595289079,300,375,0.44186000000000003,65.5,0.2414,3.74,0.545,0.658,10.11,2,-0.839,-1.234,-0.4197,0.5117,,
Gray Middle School,middle,Regular School,852,411004000896,5505 SW 23rd Ave,Portland,97239,45.4824,-122.7013,false,,false,false,,10187500,,,,false,,false,,,,1952,60624,Wood,622,0.6945,439,432,-0.0159,542,568,509,478,483,471,483,70.7,57.3,71.7,55.2,444,439,69,95,83,28,11,74,133,0.0255,0.1713,24,19.83,23,20.48,61,2.1,0.6721,0.9344,true,2,0,0,0.25,138,146,476,95,5,33,0.1967,0.207,0.0683,0.00694,0.03009,0.00231,0.03935,0.11111,0.69907,0.11111,546,0,0,0,214,112,11174.7,438,423,417,430,406,397,359,346,332,349,350,-0.2009132420091324,300,376,0.30093000000000003,64,0.3067,28.99,0.42,0.5348,-3.97,2,-1.41,-0.785,-0.203,0.5627,,
César Chávez K-8 School,k8,Regular School,841,411004000884,5103 N Willis Blvd,Portland,97203,45.5844,-122.7195,false,,true,false,,18499250,targeted,,Spanish DLI,true,Spanish,false,300,143,0.6772,1928,75814,LRCW,589,0.7521,453,443,-0.0221,550,549,543,490,466,481,466,20.9,13,21,11.2,305,302,65,64,75,20,192,68,198,0.4334,0.1535,35,13.91,35,13.74,79,2.1,0.6456,0.9114,false,2,0,0,0.25,427,270,487,301,0,167,0.6459,0.6459,0.3584,0.00226,0.02032,0.01129,0.11964,0.63883,0.15576,0.05192,295,58,30,1,65,41,1679.7,454,438,403,387,379,388,383,371,367,374,383,-0.1563876651982378,333,467,0.84424,16.95,0.5544,87.68,0.411,1.3922,-2.53,1,2.721,1.737,-0.1945,0.6503,,
Bridger Creative Science School,k8,Regular School,834,411004000877,7910 SE Market St,Portland,97215,45.5106,-122.5821,false,,false,false,,0,full,SEGC 2023,Creative Science focus,false,,true,,,,1955,50595,Masonry,561,0.795,474,446,-0.0591,504,515,515,335,329,514,329,55.5,42.9,52.9,37.4,277,276,78,70,52,23,79,69,78,0.1771,0.1547,22,15.05,29,17.72,,,,,,1,0.5,0,0.25,73,116,331,215,0,55,0.6535,0.6535,0.1672,0.00897,0.06502,0.00673,0.03363,0.09417,0.69507,0.09641,0,60,20,1,140,17,2294.2,474,468,454,440,423,435,442,441,443,448,451,-0.0485232067510548,392,550,0.30493000000000003,49.2,0.3505,22.05,0.453,0.8196,-18.41,2,-0.571,-0.352,-0.1151,0.8039,,
Lane Middle School,middle,Regular School,1243,411004000912,7200 SE 60th Ave,Portland,97206,45.4713,-122.6016,false,,true,false,,17940000,,SEGC 2023,Russian DLI,true,Russian,false,36,414,0.0805,1927,87438,LRCW,770,0.5844,417,450,0.0791,433,434,411,369,334,391,334,30.3,22.5,32.3,17.9,385,380,55,84,71,23,71,81,134,0.1578,0.18,36,10.22,29,13.48,85,4.1,0.4235,0.8706,true,3,0.5,0,0.23,78,213,368,223,0,77,0.6677,0.6677,0.2305,0.00889,0.10889,0.01111,0.13556,0.24444,0.39556,0.09556,732,30,30,1,509,329,13897.1,418,429,425,444,433,411,386,377,365,341,342,-0.1818181818181818,294,368,0.60444,26.4,0.5788,21.2,0.951,0.9172,-14.48,1,0.959,1.808,0.0393,0.4442,,
Ockley Green Middle School,middle,Regular School,878,411004000925,6031 N Montana,Portland,97217,45.567,-122.6807,false,,true,false,,9820000,targeted,DBRAC 2018,Spanish DLI,true,Spanish,false,63,397,0.137,1925,69153,LRCW,689,0.6676,409,460,0.1247,505,487,486,489,483,428,483,35.2,31.1,39.8,28.7,419,415,66,66,68,26,28,82,162,0.0609,0.1783,29,16.86,26,16.46,59,3.5,0.322,0.8983,true,2,0.5,0,0.25,231,213,489,314,0,104,0.6501,0.6501,0.2153,0.0087,0.01739,0.01304,0.17174,0.18043,0.46957,0.13913,2630,381,128,7,973,371,22655.6,410,446,435,439,417,444,432,428,395,379,379,-0.0756097560975609,325,407,0.53043,33.150000000000006,0.4356,47.24,0.511,0.7524,-14.34,3,-0.268,3.191,-0.0891,0.5501,,
Scott Elementary School,elementary,Regular School,887,411004000935,6700 NE Prescott St,Portland,97218,45.5552,-122.5943,false,,true,false,,11520000,,DBRAC 2018,Spanish DLI,true,Spanish,false,222,255,0.4664,1949,62681,Wood,643,0.7418,493,477,-0.0325,458,485,461,429,450,500,450,41.3,36.9,40.9,38.8,225,223,72,71,86,18,135,84,131,0.283,0.1761,32,13.31,34,14.71,51,3.8,0.3333,0.902,false,1,1,0,0.27,117,199,426,295,0,143,0.6556,0.6556,0.3178,0.02725,0.03145,0.03145,0.10273,0.32704,0.38155,0.09853,562,0,0,0,95,94,4310.3,494,471,485,478,450,443,440,443,446,447,446,-0.097165991902834,387,544,0.6184499999999999,39.099999999999994,0.4671,27.46,0.469,1.1826,-0.53,1,1.383,0.54,0.0415,0.6936,,
Beverly Cleary School ,other,Regular School,857,411004000901,1915 NE 33rd,Portland,97212,45.5369,-122.6315,false,,false,true,14400000,20320000,planned_full,,,false,,false,,,,1911,73091,URM,783,0.613,535,480,-0.1028,782,743,691,656,604,558,604,78.3,70.9,74.9,71.5,404,402,88,100,92,28,9,91,37,0.0187,0.1896,29,22.62,27,20.67,51,2.95,0.5,0.94,true,2,0,0,0.54,0,101,656,41,8,18,0.0679,0.0811,0.0298,0,0.04375,0,0.02292,0.07292,0.71042,0.15,862,222,100,1,47,10,4677.5,535,477,459,416,398,390,378,368,377,367,373,-0.302803738317757,324,455,0.28957999999999995,74.6,0.154,0,0.305,0.5318,5.62,0,-2.313,-0.837,-0.3862,0.4764,,
Sunnyside Environmental School,k8,Regular School,893,411004000941,3421 SE Salmon St,Portland,97214,45.5146,-122.6289,false,,false,false,,12490000,,,Environmental focus,false,,true,,,,1925,54361,LRCW,546,0.8883,461,485,0.0521,581,549,525,470,465,447,465,60.8,52.9,59.8,51.3,310,309,81,96,89,25,6,97,17,0.0124,0.2,25,18.8,24,18.62,47,2.3,0.5957,1,false,1.5,0.5,0,0.25,36,137,470,85,18,48,0.1828,0.2215,0.1032,0,0.01237,0.00206,0.01443,0.10309,0.74227,0.12577,203,186,88,3,128,21,6038.8,461,453,436,434,448,449,458,449,458,444,446,-0.0325379609544468,387,544,0.25773,56.849999999999994,0.2915,7.66,0.426,0.6218,-14.98,0,-2.05,0.797,-0.1652,0.8168,,
Hayhurst Elementary School,elementary,Regular School,855,411004000899,5037 SW Iowa St,Portland,97221,45.4804,-122.729,false,,false,true,520000,5147500,full,,,false,,false,,,,1954,56266,Wood,546,0.9304,525,508,-0.0324,628,640,624,574,575,562,575,67.3,61.6,69.2,63.2,319,315,77,88,81,24,23,90,54,0.0453,0.1772,41,13.93,32,17.56,40,0.95,0.725,0.95,true,2,0,0,0.5,67,170,571,226,0,56,0.393,0.393,0.0974,0.00591,0.02756,0.00394,0.04134,0.09843,0.66929,0.15354,273,0,0,0,52,42,3894.7,314,291,280,264,257,255,263,266,273,278,278,-0.1146496815286624,242,339,0.33070999999999995,64.45,0.2977,11.73,0.35,0.6083,-0.86,0,-1.716,-0.489,-0.1911,0.5092,,
Richmond Elementary School,elementary,Regular School,883,411004000930,2276 SE 41st Ave,Portland,97214,45.5064,-122.6199,false,,false,true,1720000,13477500,planned_targeted,,Japanese DLI,true,Japanese,false,512,0,1,1908,77070,Wood,723,0.7082,530,512,-0.034,632,627,601,551,539,537,539,73.5,69.4,74,68.9,239,236,85,83,87,26.5,-22,41,21,-0.043,0.0801,25,21.76,22,24.41,46,0.9,0.913,0.9565,true,1.5,0.5,0,0.25,6,69,544,23,6,15,0.0427,0.0538,0.0278,0,0.09961,0,0.00977,0.06836,0.41992,0.40234,334,507,116,7,615,217,17928,530,537,537,542,548,548,542,542,542,542,546,0.030188679245283,474,666,0.5800799999999999,71.45,0.1268,1.1,0.368,0.1636,28.4,0,-2.639,1.459,-0.1899,0.7552,,
Alameda Elementary School,elementary,Regular School,824,411004000867,2732 NE Fremont St,Portland,97212,45.5478,-122.6374,false,,false,false,1400000,9437500,full,,,false,,false,,,,1921,60840,Wood,792,0.6503,498,515,0.0341,730,704,624,525,538,521,538,84,81.1,78.8,78.2,244,243,88,97,86,24,3,75,32,0.0058,0.1456,27,19.52,24,21.71,54,2.05,0.7037,0.9815,false,2,0,0,0.25,6,80,527,370,0,14,0.6877,0.6877,0.026,0.00388,0.01748,0.00194,0.01359,0.08544,0.75146,0.12621,0,0,0,0,50,47,4072.3,496,492,480,456,451,455,454,455,460,472,468,-0.0564516129032258,407,571,0.24853999999999998,82.55,0.1518,1.14,0.38,0.3987,9.9,0,-2.561,-0.535,-0.2945,0.5909,,
Hosford Middle School,middle,Regular School,858,411004000902,2303 SE 28th Pl,Portland,97214,45.5062,-122.6371,false,,false,false,,18620000,targeted,,,false,,false,,,,1925,77050,LRCW,696,0.7586,537,528,-0.0168,588,651,675,630,566,517,566,66,51.2,54.3,44,520,522,75,92,80,28,29,118,109,0.0549,0.2235,34,18.41,25,20.68,67,2.6,0.6866,0.9552,true,3,0,0,0.25,143,195,626,134,21,65,0.2367,0.2739,0.1148,0.00379,0.05114,0.00758,0.02652,0.10606,0.69697,0.10795,3381,714,129,12,1634,338,45676.3,537,509,484,431,404,352,336,313,309,313,317,-0.409683426443203,272,341,0.30303,58.6,0.3115,22.84,0.479,0.7559,-9.18,3,-2.126,2.175,-0.102,0.4555,,
Kellogg Middle School,middle,Regular School,863,411004001922,3330 SE 69th,Portland,97206,45.498264,-122.591499,false,,true,false,,0,full,SEGC 2023,Spanish DLI,true,Spanish,false,201,332,0.3785,1913,94592,Concrete,803,0.6638,592,533,-0.0997,,,,691,658,677,658,46.8,35.1,41.3,29.2,586,582,65,89,72,25,,,,,,44,15.7,42,16.12,,,,,,3,1,0,0.25,257,280,691,435,0,122,0.6611,0.6611,0.1854,0,0.08068,0.01501,0.04315,0.34522,0.41839,0.09756,1072,64,29,1,295,174,10176.3,594,547,539,526,512,499,494,476,460,442,450,-0.2424242424242424,386,484,0.58161,40.95,0.4052,37.19,0.579,,-1.97,,,,,0.5604,,
Vernon Elementary School,k8,Regular School,895,411004000944,2044 NE Killingsworth St,Portland,97211,45.5624,-122.6439,false,,false,true,2450000,6265000,planned_targeted,,,false,,false,,,,1931,68091,LRCW,579,0.9309,564,539,-0.0443,546,608,570,517,555,579,555,56.1,53.5,52.4,45.1,379,388,71,97,88,24,28,68,113,0.0519,0.1262,31,16.68,30,19.3,58,0.6,0.931,0.9655,false,2,0,0,0.25,53,166,517,360,0,108,0.6486,0.6486,0.1946,0.00742,0.00742,0,0.141,0.12245,0.55102,0.17069,336,84,60,1,291,180,6122.8,563,554,530,505,496,492,479,471,469,471,470,-0.1651865008880994,408,574,0.44898000000000005,54.8,0.3211,10.25,0.387,0.588,0.04,0,-1.578,1.034,-0.0128,0.8117,,
Ainsworth Elementary School,elementary,Regular School,823,411004000866,2425 SW Vista Ave,Portland,97201,45.5098,-122.6996,false,,false,true,7865000,10120000,planned_targeted,,Spanish DLI,true,Spanish,false,287,278,0.5125,1912,55273,LRCW,636,0.8884,587,565,-0.0375,625,642,598,552,563,585,563,78.5,76.4,79.8,72.3,302,301,85,83,84,24.5,54,68,40,0.0956,0.1204,29,19,29,20.17,42,2.25,0.619,0.9286,true,1,0,0,0.25,0,98,551,48,4,19,0.0853,0.0924,0.0337,0.00354,0.04425,0,0.02655,0.26903,0.53097,0.12566,1216,191,0,2,220,14,13630.1,584,571,565,559,563,551,551,553,561,569,565,-0.0325342465753424,491,690,0.46902999999999995,77.45,0.1779,0,0.181,0.4781,24.48,0,-2.446,0.206,-0.096,0.8884,,
Sellwood Middle School,middle,Regular School,888,411004000936,8300 SE 15th Ave,Portland,97202,45.4626,-122.6506,false,,false,false,,20170000,targeted,,,false,,false,,,,1914,86823,LRCW,683,0.8287,575,566,-0.0157,613,587,550,554,563,567,563,71.3,65.7,67.6,61.6,551,548,75,93,92,29,1,84,29,0.0018,0.1484,25,22.12,26,21.81,66,2.3,0.6615,0.9692,true,3,0,0,0.25,107,171,553,60,8,28,0.1066,0.1208,0.0497,0,0.01943,0,0.00707,0.07951,0.79505,0.09894,747,10,3,1,631,291,12277.1,576,564,536,523,501,468,408,375,373,376,378,-0.34375,325,406,0.20494999999999997,68.5,0.3092,19.35,0.542,0.4234,-8.04,0,-2.997,0.351,-0.0767,0.5534,,
Roseway Heights School,middle,Regular School,885,411004000932,7334 NE Siskiyou St,Portland,97213,45.544,-122.5876,false,,true,false,,15680750,,DBRAC 2018,Spanish DLI; Vietnamese DLI,true,Spanish; Vietnamese,false,157,415,0.2745,1923,95438,LRCW,803,0.7123,561,572,0.0196,587,615,614,592,576,549,576,38.8,28.2,31.8,22.7,485,464,54,80,79,25,86,97,250,0.1503,0.1696,35,16.77,39,14.08,93,4.1,0.3763,0.7419,true,2,1,0,0.27,281,289,587,379,0,112,0.658,0.658,0.1944,0.00874,0.12937,0.01748,0.09965,0.20979,0.42657,0.10839,1629,0,0,0,213,188,12062.5,565,625,644,643,617,630,601,563,523,530,542,-0.0407079646017699,465,582,0.57343,33.5,0.4923,47.87,0.511,0.8438,-10.15,1,0.125,1.258,-0.0256,0.675,,
Faubion Elementary School,k8,Regular School,847,411004000890,2930 NE Dekum St,Portland,97211,45.570756,-122.634699,false,,true,false,,0,full,DBRAC 2018,,false,,false,,,,1950,57846,Wood,710,0.8451,585,600,0.0256,678,701,701,626,610,570,610,22.9,16.5,20.8,16.4,388,380,56,78,84,23,100,123,269,0.1667,0.205,37,16.84,43,13.26,153,2.8,0.5229,0.8366,true,3,0,0,0.25,186,314,623,443,0,225,0.7262,0.7262,0.3689,0.01167,0.01333,0.035,0.225,0.29333,0.27167,0.15,108,97,4,2,516,50,6380.5,589,586,615,599,591,594,590,589,581,581,577,-0.0203735144312393,501,704,0.7283299999999999,19.7,0.504,29.86,0.482,1.1314,-10.12,1,1.434,2.306,-0.115,0.8127,,
Laurelhurst Elementary School,k8,Regular School,868,411004000913,840 NE 41st Ave,Portland,97232,45.5291,-122.6198,false,,false,false,,13332500,targeted,,,false,,false,,,,1923,44251,LRCW,657,0.9346,660,614,-0.0697,692,698,687,651,674,658,674,79.3,68.7,77.9,71.3,480,477,81,99,87,26,3,68,43,0.0049,0.1107,34,19.12,32,20.56,52,2.8,0.5192,0.9423,false,2,0,0,0.27,0,95,650,53,4,29,0.0786,0.0846,0.043,0.00326,0.03094,0.00163,0.02117,0.06515,0.73779,0.14007,41,128,63,1,260,34,3861.1,656,632,597,605,586,566,562,550,556,558,555,-0.1539634146341463,482,677,0.26221000000000005,74,0.1462,0,0.308,0.3271,2.57,0,-3.425,0.372,-0.1127,0.8447,,
West Sylvan Middle School,middle,Regular School,898,411004000947,8111 SW West Slope Dr,Portland,97225,45.504712,-122.760447,false,,false,false,,12552500,,,Spanish DLI,true,Spanish,false,116,569,0.1698,1954,102209,Wood,987,0.694,670,685,0.0224,822,833,800,730,757,723,757,69.4,63.3,69.1,56.3,671,655,76,87,77,29,6,68,106,0.0088,0.0993,46,15.85,32,22.59,80,1.7,0.725,0.95,true,2.8,0,0,0.25,70,213,729,91,8,37,0.1202,0.1308,0.0489,0.00584,0.07737,0.00146,0.04672,0.12847,0.58394,0.1562,13946,1043,103,12,1936,81,63008.5,670,671,648,660,629,633,632,617,598,573,605,-0.0970149253731343,519,650,0.41606,66.35,0.2922,9.6,0.384,0.3104,8.66,3,-2.845,3.214,-0.1667,0.613,,
Jackson Middle School,middle,Regular School,1277,411004001365,10625 SW 35th,Portland,97219,45.448557,-122.714215,false,,false,false,,30170000,targeted,,,false,,false,,,,1966,247779,Concrete,908,0.7577,715,688,-0.0378,747,793,803,753,791,710,791,66.5,56.3,63.5,57.8,699,695,76,91,89,29,18,117,170,0.0262,0.1701,35,21.49,36,19.72,145,2.5,0.5862,0.8759,true,3.5,0,0,0.25,171,237,752,174,29,74,0.22,0.2566,0.0936,0.00291,0.01744,0.01017,0.05523,0.11337,0.65698,0.1439,642,472,277,5,560,268,23975.9,715,704,706,691,674,649,577,539,522,554,543,-0.2405594405594405,466,584,0.34302,61.4,0.3152,22.74,0.465,0.5582,-2.81,3,-2.475,2.379,-0.079,0.598,,
ACCESS Academy,alternative,alternative,,,6318 S Corbett Ave,Portland,97239,45.4783395,-122.6753753,false,,,,,,,,TAG / accelerated focus,false,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,100,40,1,52,48,5342.6,323,311,301,289,282,277,275,274,274,273,272,-0.1578947368421052,236,332,,,,,,,,,,,,,,
