school_name,level,school_type,ode_school_id,nces_school_id,street_address,city,zip_code,latitude,longitude,is_closure_candidate,closure_rank,is_title_i,is_urm_building,urm_retrofit_cost_usd,retrofit_cost_remaining_usd,seismic_retrofit_status,recent_boundary_change,programs,has_dli,dli_languages,has_focus_option,dli_students_2526,neighborhood_students_2526,pct_dli_2526,year_built,square_feet,construction_type_2009,functional_capacity_2021,utilization_pct_2526,enrollment_2024_25,enrollment_2025_26,enrollment_pct_change,enrollment_2018,enrollment_2019,enrollment_2020,enrollment_2021,enrollment_2022,enrollment_2023,ccd_enrollment_2022,pct_ela_prof_2425,pct_math_prof_2425,pct_ela_prof_2324,pct_math_prof_2324,n_ela_participants_2425,n_math_participants_2425,pct_regular_attenders_2425,pct_experienced_teachers_2425,pct_teacher_retention_2425,class_size_2425,crdc_lep_2020,crdc_idea_2020,crdc_chronic_absent_2020,pct_lep,pct_idea,teachers_fte_2021,students_per_teacher_2021,teachers_fte_2023,students_per_teacher_2023,airflow_rooms_tested,airflow_ach_e_median,airflow_pct_below_3_ach,airflow_pct_below_6_ach,airflow_filter_upgraded,counselors_fte_2021,social_workers_fte_2021,psychologists_fte_2021,nurses_fte_2021,suspensions_2021,chronic_absent_2021,enrollment_crdc_2021,frl_free_lunch,frl_reduced_lunch,frl_direct_certification,pct_free_lunch,pct_frl,pct_direct_cert,pct_ai_an,pct_asian,pct_nhpi,pct_black,pct_hispanic,pct_white,pct_multiracial,affordable_units_within_1mi,pipeline_affordable_units_within_1mi,pipeline_family_units_within_1mi,n_pipeline_projects_within_1mi,permits_units_within_1mi_since_2022,n_permits_within_1mi_since_2022,bli_forecast_units_within_catchment,prc_baseline_2024_25,enrollment_forecast_2025_26,enrollment_forecast_2026_27,enrollment_forecast_2027_28,enrollment_forecast_2028_29,enrollment_forecast_2029_30,enrollment_forecast_2030_31,enrollment_forecast_2031_32,enrollment_forecast_2032_33,enrollment_forecast_2033_34,enrollment_forecast_2034_35,enrollment_forecast_pct_change_10yr,enrollment_forecast_2034_35_low,enrollment_forecast_2034_35_high,pct_bipoc,avg_prof_2425,pct_chronic_absent_2021,suspensions_per_100_2021,support_staff_per_100,service_load,prof_residual,cluster_id,pca_x,pca_y,enrollment_pct_change_7yr,utilization_pct_2034_35,nearest_alt_school_mi,nearest_alt_school_name
Chapman Elementary School,elementary,Regular School,839,411004000882,1445 NW 26th Ave,Portland,97210,45.5332,-122.7055,false,,true,false,,14320000,targeted,,,false,,false,,,,1923,59969,LRCW,618,0.5388,353,333,-0.0567,484,484,375,341,350,344,350,45.5,39.8,49.3,40,171,169,63,68,88,22,20,39,85,0.0601,0.1171,21,16.24,19,18.11,44,1,0.8409,0.9773,true,1.5,0,0,0.25,48,158,341,227,0,100,0.6486,0.6486,0.2857,0.02102,0.05405,0.00901,0.09309,0.17417,0.46547,0.18318,12730,852,103,10,1693,44,45301.9,349,348,346,331,345,352,346,347,347,349,340,-0.0257879656160458,295,415,0.53453,42.65,0.4633,14.08,0.44,0.6686,-4.47,3,-0.211,2.154,-0.312,0.5502,,
Markham Elementary School,elementary,Regular School,1278,411004000919,10531 SW Capitol Hwy,Portland,97219,45.4492,-122.7255,false,,true,false,2200000,9367500,targeted,,,false,,false,,,,1951,82794,Wood,588,0.5765,341,339,-0.0059,446,430,416,427,426,402,426,61.2,53.4,51.4,50.3,190,191,79,83,82,21.5,66,60,54,0.1947,0.177,26,16.12,25,16.08,66,1.6,0.8485,0.9848,false,1,0,0,0.25,39,108,419,277,0,84,0.6502,0.6502,0.1972,0,0.05605,0.02655,0.17109,0.14749,0.49263,0.10619,42,171,82,2,171,72,5313.9,341,356,344,320,318,313,315,314,312,312,311,-0.0879765395894428,270,380,0.50737,57.3,0.2578,9.31,0.239,0.9318,7.76,1,0.465,0.067,-0.2399,0.5289,,
Glencoe Elementary School,elementary,Regular School,850,411004000894,825 SE 51st Ave,Portland,97215,45.5172,-122.6108,false,,false,false,241000,12533500,targeted,,,false,,false,,,,1923,63482,LRCW,600,0.5683,357,341,-0.0448,451,449,396,374,394,372,394,78.6,75,67.9,65.2,196,196,84,100,82,23,13,73,3,0.0381,0.2141,22,16.95,20,18.6,57,1,0.9474,0.9649,true,1,0,0,0.25,15,68,373,65,7,38,0.165,0.1827,0.0964,0,0.01466,0,0.04985,0.10557,0.74194,0.08798,941,0,0,0,245,78,8080.5,356,330,305,281,257,266,269,275,283,289,285,-0.199438202247191,248,348,0.25805999999999996,76.8,0.1823,4.02,0.268,0.6888,5,2,-1.341,-1.583,-0.2439,0.475,,
Llewellyn Elementary School,elementary,Regular School,872,411004000917,6301 SE 14th Ave,Portland,97202,45.4772,-122.6523,false,,false,false,,12867500,,,,false,,false,,,,1928,49755,LRCW,528,0.6534,373,345,-0.0751,485,509,461,395,413,393,413,77.3,75.6,80.6,71,207,201,79,100,91,21,7,83,1,0.0203,0.2406,23,17.22,25,15.72,42,3.05,0.4524,0.881,false,2,0,0,0.25,33,113,396,51,7,24,0.1235,0.1404,0.0581,0.0058,0.02029,0,0.01739,0.09565,0.77681,0.08406,417,10,3,1,136,124,5159.1,373,345,333,311,302,316,329,332,336,337,335,-0.1018766756032171,291,409,0.22319,76.44999999999999,0.2854,8.33,0.505,0.6901,1.54,2,-1.611,-2.021,-0.2887,0.6345,,
Sitton Elementary School,elementary,Regular School,889,411004000937,9930 N Smith St,Portland,97203,45.6,-122.7584,false,,true,false,,5685000,targeted,,Spanish DLI,true,Spanish,false,138,208,0.4,1949,58762,Wood,467,0.7409,339,346,0.0206,367,374,339,307,345,335,345,40.1,38.9,41.4,39.3,162,162,56,74,81,20,91,71,122,0.263,0.2052,29,10.52,28,11.96,53,2.7,0.6226,0.9434,false,1,0.5,0,0.25,42,176,305,243,0,137,0.7043,0.7043,0.3971,0.00578,0.03179,0.01156,0.11561,0.39306,0.32948,0.11272,691,0,0,0,69,65,3048.6,339,340,331,310,289,290,296,302,306,311,311,-0.0825958702064896,270,380,0.67052,39.5,0.577,13.77,0.492,1.3046,4.52,1,2.144,0.535,-0.0572,0.666,,
George Middle School,middle,Regular School,849,411004000893,10000 N Burr,Portland,97203,45.5961,-122.7367,false,,true,true,11175000,13512500,,,Spanish DLI,true,Spanish,false,109,247,0.3045,1950,78713,URM,617,0.577,400,356,-0.11,421,439,431,390,387,364,387,25.4,14.1,19.2,10.9,373,376,53,67,76,24,81,101,214,0.2275,0.2837,28,13.89,30,12.13,68,3.5,0.3676,0.8529,true,2,1,0,0.25,492,224,389,249,0,131,0.6434,0.6434,0.3385,0.00281,0.03371,0.00843,0.16292,0.46629,0.19663,0.12921,2841,0,0,0,275,247,11401.7,404,389,407,412,431,421,414,389,377,354,362,-0.1039603960396039,311,389,0.80337,19.75,0.5758,126.48,0.771,1.389,-3.37,1,3.062,-0.234,-0.1544,0.5867,,
Duniway Elementary School,elementary,Regular School,844,411004000887,7700 SE Reed College Pl,Portland,97202,45.4687,-122.6289,false,,false,false,420000,14610000,targeted,,,false,,false,,,,1926,67492,LRCW,552,0.6558,387,362,-0.0646,504,511,467,436,422,409,422,70.1,71.9,69.1,67.6,211,210,88,94,87,27.5,12,65,30,0.0331,0.1796,20,21.8,19,21.53,47,2.1,0.7234,0.9787,true,1,0.5,0,0.25,3,90,436,37,4,22,0.0877,0.0972,0.0521,0.00829,0.01381,0.00276,0,0.05525,0.77624,0.14365,326,0,0,0,99,66,5004.6,387,367,356,317,314,310,313,318,322,321,321,-0.1705426356589147,279,392,0.22375999999999996,71,0.2064,0.69,0.344,0.5508,-3.86,2,-1.755,-1.624,-0.2817,0.5815,,
Clark Elementary School,elementary,Regular School,5817,,1231 SE 92nd Ave,Portland,97216,45.5133327,-122.5706442,false,,true,false,,0,,SEGC 2023,Chinese DLI,true,Chinese,false,91,272,0.25,,,,495,0.7333,330,363,0.1,,,,,,,,22.9,20.2,25.5,26.8,177,175,61,87,-1,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.00826,0.24518,0.0854,0.1708,0.15978,0.21763,0.11295,419,0,0,0,157,66,6775.8,331,317,304,288,268,264,258,254,251,250,251,-0.2416918429003021,218,306,0.78237,21.549999999999997,,,,,-3.45,,,,,0.5071,,
James John Elementary School,elementary,Regular School,862,411004000906,7439 N Charleston Ave,Portland,97203,45.5904,-122.752,false,,true,true,1020000,18000000,targeted,,Spanish DLI,true,Spanish,false,133,231,0.3644,1929,63697,LRCW,513,0.7096,367,364,-0.0082,347,351,318,332,337,349,337,32.8,23.4,27.4,27.7,181,179,62,85,86,22,73,73,75,0.2005,0.2005,26,12.77,25,13.96,49,1.4,0.6939,0.9592,true,1,0.5,0,0.25,147,146,332,221,0,102,0.6558,0.6558,0.3027,0.00824,0.01374,0.00275,0.07692,0.47802,0.31868,0.10165,456,0,0,0,185,161,6519.3,367,364,350,339,331,340,326,328,332,336,331,-0.0980926430517711,288,404,0.6813199999999999,28.099999999999998,0.4398,44.28,0.452,1.1047,-5.92,1,1.659,0.642,0.049,0.6452,,
Atkinson Elementary School,elementary,Regular School,828,411004000871,5800 SE Division St,Portland,97206,45.505026,-122.604783,false,,true,false,,3870000,,,Spanish DLI,true,Spanish,false,178,188,0.4863,1952,58057,Wood,567,0.6455,372,366,-0.0161,419,391,392,344,337,366,337,60.8,53.6,60.1,59.4,171,170,71,91,85,18,42,74,41,0.1148,0.2022,24,14.21,22,16.64,43,1.6,0.9302,1,false,1,0,0,0.25,6,85,341,69,11,30,0.2047,0.2374,0.089,0,0.00546,0.00546,0.01093,0.37978,0.53005,0.06831,113,14,4,1,52,50,4060,373,363,348,352,355,356,359,367,370,377,378,0.0134048257372654,328,461,0.46995,57.2,0.2493,1.76,0.293,0.7667,4.32,2,-0.11,-0.885,-0.1265,0.6667,,
