district_id,district_name,school_id,school_name,address,city,state,zip,county,full_address,lon,lat
2089,Crow-Applegate-Lorane SD 66,589,Applegate Elem,85955 Territorial Rd,Eugene,OR,97402,Lane,"85955 Territorial Rd Eugene, OR 97402",-123.3365985,43.9903427
2055,Three Rivers/Josephine County SD,5911,Applegate Valley Virtual Academy,8550 New Hope Rd,Grants Pass,OR,97527,Josephine,"8550 New Hope Rd Grants Pass, OR 97527",-123.333965,42.3470515
2244,Sherwood SD 88J,1334,Archer Glen Elem,16155 SW Sunset Blvd,Sherwood,OR,97140,Washington,"16155 SW Sunset Blvd Sherwood, OR 97140",-122.8425706,45.3508154
2243,Beaverton SD 48J,4805,Arco Iris Spanish Immersion School,8205 SW Creekside Pl,Beaverton,OR,97008,Washington,"8205 SW Creekside Pl Beaverton, OR 97008",-122.7938662,45.4601026
1924,North Clackamas SD 12,4762,Ardenwald Elem,8950 SE 36th St,Milwaukie,OR,97222,Clackamas,"8950 SE 36th St Milwaukie, OR 97222",-122.624454,45.4578315
2180,Portland SD 1J,826,Arleta Elem,5109 SE 66th Ave,Portland,OR,97206,Multnomah,"5109 SE 66th Ave Portland, OR 97206",-122.5960967,45.4862341
2005,Arlington SD 3,323,Arlington Community Charter,1200 Main St,Arlington,OR,97812,Gilliam,"1200 Main St Arlington, OR 97812",-120.1999519,45.7122513
2039,Phoenix-Talent SD 4,3247,Armadillo Community Charter School,302 W 1st St,Phoenix,OR,97535,Jackson,"302 W 1st St Phoenix, OR 97535",-122.817883,42.272666
2206,Hermiston SD 8,1039,Armand Larive Middle,1497 SW 9th St,Hermiston,OR,97838,Umatilla,"1497 SW 9th St Hermiston, OR 97838",-119.3042316,45.82683670000001
2242,Tigard-Tualatin SD 23J,5819,Art Rutkin Elementary School,15600 SW River Terrace Blvd,Tigard,OR,97224,Washington,"15600 SW River Terrace Blvd Tigard, OR 97224",-122.8442934,45.4063947
2187,David Douglas SD 40,3580,Arthur Academy (Charter),13717 SE Division St,Portland,OR,97236,Multnomah,"13717 SE Division St Portland, OR 97236",-122.5223402,45.5043884
2243,Beaverton SD 48J,1304,Arts and Communication Magnet Academy,11375 SW Center St,Beaverton,OR,97005,Washington,"11375 SW Center St Beaverton, OR 97005",-122.7940037,45.4945744
2082,Eugene SD 4J,4554,Arts and Technology Academy at Jefferson,1650 W 22nd Ave,Eugene,OR,97405,Lane,"1650 W 22nd Ave Eugene, OR 97405",-123.1153288,44.0354106
2191,Central SD 13J,3464,Ash Creek Elem,1360 N 16th St,Monmouth,OR,97361,Polk,"1360 N 16th St Monmouth, OR 97361",-123.2125812,44.86181759999999
2041,Ashland SD 5,381,Ashland High,201 S Mountain Ave,Ashland,OR,97520,Jackson,"201 S Mountain Ave Ashland, OR 97520",-122.7003485,42.1915792
2041,Ashland SD 5,380,Ashland Middle,100 Walker Ave,Ashland,OR,97520,Jackson,"100 Walker Ave Ashland, OR 97520",-122.6871791,42.1927463
2051,Ashwood SD 8,427,Ashwood Elem,18624 NE Main,Ashwood,OR,97711,Jefferson,"18624 NE Main Ashwood, OR 97711",-120.7542229,44.7338876
1933,Astoria SD 1,143,Astor Elem,3550 Franklin Ave,Astoria,OR,97103,Clatsop,"3550 Franklin Ave Astoria, OR 97103",-123.8036979,46.1918877
2180,Portland SD 1J,827,Astor Elem,5601 N Yale St,Portland,OR,97203,Multnomah,"5601 N Yale St Portland, OR 97203",-122.729655,45.5786714
1933,Astoria SD 1,144,Astoria Middle,1100 Klaskanine Ave,Astoria,OR,97103,Clatsop,"1100 Klaskanine Ave Astoria, OR 97103",-123.8301654,46.1792832
1933,Astoria SD 1,146,Astoria Sr High,1001 W Marine Dr,Astoria,OR,97103,Clatsop,"1001 W Marine Dr Astoria, OR 97103",-123.849177,46.1764264
2239,Hillsboro SD 1J,5671,Atfalati Ridge,29174 NW King St,North Plains,OR,97133,Washington,"29174 NW King St North Plains, OR 97133",-122.9772635,45.5931836
2208,Athena-Weston SD 29RJ,1053,Athena Elem,375 S 5th St,Athena,OR,97813,Umatilla,"375 S 5th St Athena, OR 97813",-118.4844944,45.808193
1922,West Linn-Wilsonville SD 3J,1287,Athey Creek Middle,2110 Brandon Pl,West Linn,OR,97068,Clackamas,"2110 Brandon Pl West Linn, OR 97068",-122.6760696,45.34961209999999
