school_year,district_id,district_name,school_id,school_short,student_group,ct,pct
2019,2180,Portland SD 1J,834,Bridger,combined_underserved,326,64.7
2019,2180,Portland SD 1J,834,Bridger,direct_cert,127,25.2
2019,2180,Portland SD 1J,834,Bridger,lep,81,16.1
2019,2180,Portland SD 1J,834,Bridger,swd,62,12.3
2019,2180,Portland SD 1J,834,Bridger,historically_underserved,256,50.8
2019,2180,Portland SD 1J,834,Bridger,hispanic,198,39.3
2019,2180,Portland SD 1J,834,Bridger,black,25,5
2019,2180,Portland SD 1J,834,Bridger,multi,22,4.4
2019,2180,Portland SD 1J,835,Bridlemile,all,518,100
2019,2180,Portland SD 1J,835,Bridlemile,combined_underserved,144,27.8
2019,2180,Portland SD 1J,835,Bridlemile,direct_cert,36,6.9
2019,2180,Portland SD 1J,835,Bridlemile,lep,21,4.1
2019,2180,Portland SD 1J,835,Bridlemile,swd,61,11.8
2019,2180,Portland SD 1J,835,Bridlemile,historically_underserved,77,14.9
2019,2180,Portland SD 1J,835,Bridlemile,hispanic,48,9.3
2019,2180,Portland SD 1J,835,Bridlemile,black,8,1.5
2019,2180,Portland SD 1J,835,Bridlemile,multi,18,3.5
2019,2180,Portland SD 1J,837,Buckman,all,450,100
2019,2180,Portland SD 1J,837,Buckman,combined_underserved,196,43.6
2019,2180,Portland SD 1J,837,Buckman,direct_cert,75,16.7
2019,2180,Portland SD 1J,837,Buckman,lep,9,2
2019,2180,Portland SD 1J,837,Buckman,swd,77,17.1
2019,2180,Portland SD 1J,837,Buckman,historically_underserved,112,24.9
2019,2180,Portland SD 1J,837,Buckman,hispanic,61,13.6
2019,2180,Portland SD 1J,837,Buckman,black,18,4
2019,2180,Portland SD 1J,837,Buckman,multi,31,6.9
2019,2180,Portland SD 1J,838,Capitol Hill,all,443,100
2019,2180,Portland SD 1J,838,Capitol Hill,combined_underserved,139,31.4
2019,2180,Portland SD 1J,838,Capitol Hill,direct_cert,53,12
2019,2180,Portland SD 1J,838,Capitol Hill,lep,18,4.1
2019,2180,Portland SD 1J,838,Capitol Hill,swd,41,9.3
2019,2180,Portland SD 1J,838,Capitol Hill,historically_underserved,86,19.4
2019,2180,Portland SD 1J,838,Capitol Hill,hispanic,50,11.3
2019,2180,Portland SD 1J,838,Capitol Hill,black,16,3.6
2019,2180,Portland SD 1J,838,Capitol Hill,multi,19,4.3
2019,2180,Portland SD 1J,841,César Chávez,all,550,100
2019,2180,Portland SD 1J,841,César Chávez,combined_underserved,481,87.5
2019,2180,Portland SD 1J,841,César Chávez,direct_cert,276,50.2
2019,2180,Portland SD 1J,841,César Chávez,lep,191,34.7
2019,2180,Portland SD 1J,841,César Chávez,swd,74,13.5
2019,2180,Portland SD 1J,841,César Chávez,historically_underserved,438,79.6
