school_short,school_year,student_group,ct,pct
Elementary Schools Total,2025,hispanic,3686,18.8
Elementary Schools Total,2025,black,1549,7.9
Elementary Schools Total,2025,multi,1377,7
District Total,2025,all,44086,100
District Total,2025,combined_underserved,23898,54.2
District Total,2025,direct_cert,13895,31.5
District Total,2025,lep,4394,10
District Total,2025,swd,7448,16.9
District Total,2025,historically_underserved,15398,34.9
District Total,2025,hispanic,8206,18.6
District Total,2025,black,3678,8.3
District Total,2025,multi,2971,6.7
