district_id,district_name,school_id,school_name,school_year,min_grade,max_grade,all_grades,grades_served,school_level
1894,Baker SD 5J,5604,Baker Virtual Academy,2024,K,8,"k, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1894,Baker SD 5J,5604,Baker Virtual Academy,2025,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1894,Baker SD 5J,5604,Baker Virtual Academy,2026,2,12,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2-12,Other
1894,Baker SD 5J,7,South Baker Intermediate School,2019,4,6,"4, 5, 6",4-6,ES
1894,Baker SD 5J,7,South Baker Intermediate School,2022,4,6,"4, 5, 6",4-6,ES
1894,Baker SD 5J,7,South Baker Intermediate School,2023,4,6,"4, 5, 6",4-6,ES
1894,Baker SD 5J,7,South Baker Intermediate School,2024,4,6,"4, 5, 6",4-6,ES
1894,Baker SD 5J,7,South Baker Intermediate School,2025,4,6,"4, 5, 6",4-6,ES
1894,Baker SD 5J,7,South Baker Intermediate School,2026,4,6,"4, 5, 6",4-6,ES
1894,Baker SD 5J,8,Baker High School,2019,9,12,"9, 10, 11, 12",9-12,HS
1894,Baker SD 5J,8,Baker High School,2022,9,12,"9, 10, 11, 12",9-12,HS
1894,Baker SD 5J,8,Baker High School,2023,9,12,"9, 10, 11, 12",9-12,HS
1894,Baker SD 5J,8,Baker High School,2024,9,12,"9, 10, 11, 12",9-12,HS
1894,Baker SD 5J,8,Baker High School,2025,9,12,"9, 10, 11, 12",9-12,HS
1894,Baker SD 5J,8,Baker High School,2026,9,12,"9, 10, 11, 12",9-12,HS
1895,Huntington SD 16J,3351,Huntington School,2019,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1895,Huntington SD 16J,3351,Huntington School,2022,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1895,Huntington SD 16J,3351,Huntington School,2023,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1895,Huntington SD 16J,3351,Huntington School,2024,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1895,Huntington SD 16J,3351,Huntington School,2025,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1895,Huntington SD 16J,3351,Huntington School,2026,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1896,Burnt River SD 30J,3347,Burnt River School,2019,K,12,"k, 1, 2, 5, 6, 7, 9, 10, 11, 12",K-12,K-12
1896,Burnt River SD 30J,3347,Burnt River School,2022,K,12,"k, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1896,Burnt River SD 30J,3347,Burnt River School,2023,K,12,"k, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12",K-12,K-12
1896,Burnt River SD 30J,3347,Burnt River School,2024,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1896,Burnt River SD 30J,3347,Burnt River School,2025,K,12,"k, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1896,Burnt River SD 30J,3347,Burnt River School,2026,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1897,Pine Eagle SD 61,15,Pine Eagle Charter School,2019,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1897,Pine Eagle SD 61,15,Pine Eagle Charter School,2022,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1897,Pine Eagle SD 61,15,Pine Eagle Charter School,2023,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1897,Pine Eagle SD 61,15,Pine Eagle Charter School,2024,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1897,Pine Eagle SD 61,15,Pine Eagle Charter School,2025,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1897,Pine Eagle SD 61,15,Pine Eagle Charter School,2026,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1898,Monroe SD 1J,1321,Monroe Grade School,2019,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1898,Monroe SD 1J,1321,Monroe Grade School,2022,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1898,Monroe SD 1J,1321,Monroe Grade School,2023,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1898,Monroe SD 1J,1321,Monroe Grade School,2024,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1898,Monroe SD 1J,1321,Monroe Grade School,2025,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1898,Monroe SD 1J,1321,Monroe Grade School,2026,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1898,Monroe SD 1J,43,Monroe High School,2019,9,12,"9, 10, 11, 12",9-12,HS
1898,Monroe SD 1J,43,Monroe High School,2022,9,12,"9, 10, 11, 12",9-12,HS
1898,Monroe SD 1J,43,Monroe High School,2023,9,12,"9, 10, 11, 12",9-12,HS
1898,Monroe SD 1J,43,Monroe High School,2024,9,12,"9, 10, 11, 12",9-12,HS
1898,Monroe SD 1J,43,Monroe High School,2025,9,12,"9, 10, 11, 12",9-12,HS
1898,Monroe SD 1J,43,Monroe High School,2026,9,12,"9, 10, 11, 12",9-12,HS
1899,Alsea SD 7J,17,Alsea Charter School,2019,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1899,Alsea SD 7J,17,Alsea Charter School,2022,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1899,Alsea SD 7J,17,Alsea Charter School,2023,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1899,Alsea SD 7J,17,Alsea Charter School,2024,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1899,Alsea SD 7J,17,Alsea Charter School,2025,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1899,Alsea SD 7J,17,Alsea Charter School,2026,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1900,Philomath SD 17J,18,Blodgett Elementary School,2019,K,4,"k, 1, 2, 3, 4",K-4,ES
1900,Philomath SD 17J,18,Blodgett Elementary School,2022,K,4,"k, 1, 2, 3, 4",K-4,ES
1900,Philomath SD 17J,18,Blodgett Elementary School,2023,K,4,"k, 1, 2, 3, 4",K-4,ES
1900,Philomath SD 17J,18,Blodgett Elementary School,2024,K,4,"k, 1, 2, 3, 4",K-4,ES
1900,Philomath SD 17J,18,Blodgett Elementary School,2025,K,4,"k, 1, 2, 3, 4",K-4,ES
1900,Philomath SD 17J,18,Blodgett Elementary School,2026,K,4,"k, 1, 2, 3, 4",K-4,ES
1900,Philomath SD 17J,20,Philomath Elementary School,2019,2,5,"2, 3, 4, 5",2-5,ES
1900,Philomath SD 17J,20,Philomath Elementary School,2022,2,5,"2, 3, 4, 5",2-5,ES
1900,Philomath SD 17J,20,Philomath Elementary School,2023,2,5,"2, 3, 4, 5",2-5,ES
1900,Philomath SD 17J,20,Philomath Elementary School,2024,2,5,"2, 3, 4, 5",2-5,ES
1900,Philomath SD 17J,20,Philomath Elementary School,2025,2,5,"2, 3, 4, 5",2-5,ES
1900,Philomath SD 17J,20,Philomath Elementary School,2026,2,5,"2, 3, 4, 5",2-5,ES
1900,Philomath SD 17J,21,Philomath Middle School,2019,6,8,"6, 7, 8",6-8,MS
1900,Philomath SD 17J,21,Philomath Middle School,2022,6,8,"6, 7, 8",6-8,MS
1900,Philomath SD 17J,21,Philomath Middle School,2023,6,8,"6, 7, 8",6-8,MS
1900,Philomath SD 17J,21,Philomath Middle School,2024,6,8,"6, 7, 8",6-8,MS
1900,Philomath SD 17J,21,Philomath Middle School,2025,6,8,"6, 7, 8",6-8,MS
1900,Philomath SD 17J,21,Philomath Middle School,2026,6,8,"6, 7, 8",6-8,MS
1900,Philomath SD 17J,22,Philomath High School,2019,9,12,"9, 10, 11, 12",9-12,HS
1900,Philomath SD 17J,22,Philomath High School,2022,9,12,"9, 10, 11, 12",9-12,HS
1900,Philomath SD 17J,22,Philomath High School,2023,9,12,"9, 10, 11, 12",9-12,HS
1900,Philomath SD 17J,22,Philomath High School,2024,9,12,"9, 10, 11, 12",9-12,HS
1900,Philomath SD 17J,22,Philomath High School,2025,9,12,"9, 10, 11, 12",9-12,HS
1900,Philomath SD 17J,22,Philomath High School,2026,9,12,"9, 10, 11, 12",9-12,HS
1900,Philomath SD 17J,3162,Clemens Primary School,2019,K,1,"k, 1",K-1,ES
1900,Philomath SD 17J,3162,Clemens Primary School,2022,K,1,"k, 1",K-1,ES
1900,Philomath SD 17J,3162,Clemens Primary School,2023,K,1,"k, 1",K-1,ES
1900,Philomath SD 17J,3162,Clemens Primary School,2024,K,1,"k, 1",K-1,ES
1900,Philomath SD 17J,3162,Clemens Primary School,2025,K,1,"k, 1",K-1,ES
1900,Philomath SD 17J,3162,Clemens Primary School,2026,K,1,"k, 1",K-1,ES
1900,Philomath SD 17J,3440,Kings Valley Charter School,2019,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1900,Philomath SD 17J,3440,Kings Valley Charter School,2022,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1900,Philomath SD 17J,3440,Kings Valley Charter School,2023,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1900,Philomath SD 17J,3440,Kings Valley Charter School,2024,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1900,Philomath SD 17J,3440,Kings Valley Charter School,2025,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1900,Philomath SD 17J,3440,Kings Valley Charter School,2026,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1900,Philomath SD 17J,5492,Philomath Academy,2022,1,12,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1-12,K-12
