school_yr,location,district_id,district_name,school_id,school_name,school_type,grade_band,virtual_status,governance,adm,total_expenditures,per_pupil_exp,fed_per_pupil_exp,state_local_per_pupil_exp,direct_classroom_expenditures,classroom_support,building_support,central_support,other_expenditures,esd_direct_support,school_expenditures,district_expenditures,general_fund,special_state_and_local_revenue_funds,special_federal_revenue_funds,special_revenue_funds,trust_and_agency_funds,internal_service_funds,enterprise_funds,esd_general_fund,esd_special_revenue_funds,esd_internal,source_file,school_year
19-20,Monroe SD 1J-Monroe High School,1898,Monroe SD 1J,43,Monroe High School,Regular,High School,Supplemental Virtual,Public,110.77,2263739.0893470799,20436.3915261088,0,20436.3915261088,1086772.5979762799,404951.31764585699,561797.20486967103,138182.082903253,72035.885952009499,46946.473097540897,1385121.28,831671.33624953905,1837598.98709305,0,0,379193.62915647897,0,0,0,46946.473097540897,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Monroe SD 1J-Monroe Grade School,1898,Monroe SD 1J,1321,Monroe Grade School,Regular,Elementary,Not Virtual,Public,241.8,3493734.0806529201,14448.8588943462,0,14448.8588943462,1687639.31202371,393279.03235414199,953930.61513032799,301637.877096746,157247.24404799001,102479.52690245899,1575797.94,1815456.6137504601,2940242.9129069401,0,0,451011.64084352,0,0,0,102479.52690245899,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Alsea SD 7J-Alsea Charter School,1899,Alsea SD 7J,17,Alsea Charter School,Charter,Combined,Supplemental Virtual,Public,263.93,4112431.5,15581.5235100215,0,15581.5235100215,1783553.49,581076.81999999995,1325646.49,322813.33,99341.37,130614,1500973.36,2480844.14,3513603.68,0,0,468213.82,0,0,0,130614,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Philomath SD 17J-Blodgett Elementary School,1900,Philomath SD 17J,18,Blodgett Elementary School,Regular,Elementary,Not Virtual,Public,22.64,474013.72941100202,20937.002182464701,0,20937.002182464701,342476.95459540002,29370.105255517199,73936.771855219107,10974.054995723,17255.8427091429,9102.9211330253893,403592.55,61318.2582779773,452201.92119925702,0,0,8237.4485047779599,4289.5935926387501,181.84498130361399,0,9102.9211330253893,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Philomath SD 17J-Philomath Elementary School,1900,Philomath SD 17J,20,Philomath Elementary School,Regular,Elementary,Supplemental Virtual,Public,390.53705882352898,4794508.09638061,12276.7045740135,0,12276.7045740135,2679237.5956302201,941310.02130758204,689471.42079645803,189301.02302991701,295188.03561642999,157024.20697854599,3579751.9,1057731.9894020599,4237984.3354404503,0,0,324840.82884750102,71521.922810215503,3136.80230389281,0,157024.20697854599,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Philomath SD 17J-Philomath Middle School,1900,Philomath SD 17J,21,Philomath Middle School,Regular,Junior High/Middle School,Supplemental Virtual,Public,369.5,4302443.9272246202,11643.9619140044,0,11643.9619140044,2221234.5525706899,936433.93185130798,689166.63375015196,179103.945270303,276504.86378216802,148565.784392795,3153123,1000755.14283183,3804730.8012069501,0,0,281292.53649803199,64886.972945230496,2967.8321816115499,0,148565.784392795,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Philomath SD 17J-Philomath High School,1900,Philomath SD 17J,22,Philomath High School,Regular,High School,Supplemental Virtual,Public,479.76,7184510.0444797901,14975.2168677668,0,14975.2168677668,3317548.7395710801,2241660.3497785698,993968.71443727496,232549.14420265399,398783.09649021103,192898.296942591,5692228.0199999996,1299383.7275372001,5801653.9935757704,0,0,1100876.15124789,85228.159770511003,3853.4429430310101,0,192898.296942591,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Philomath SD 17J-Clemens Primary School,1900,Philomath SD 17J,3162,Clemens Primary School,Regular,Elementary,Not Virtual,Public,171.42,2427462.0669007902,14160.9034354264,0,14160.9034354264,1367173.22561588,477098.64544614701,348183.17221827101,83090.658452599106,151916.36516789999,68923.265928587105,1894264.25,464274.55097221199,2111846.6808911902,0,0,217973.57102866701,27341.699816702101,1376.84923564777,0,68923.265928587105,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Philomath SD 17J-Kings Valley Charter School,1900,Philomath SD 17J,3440,Kings Valley Charter School,Charter,Combined,Supplemental Virtual,Public,202.82294117647001,911649.12560315698,4494.8028083763802,0,4494.8028083763802,273036.00201671798,148126.166360868,242649.26694262301,98312.284048802496,149525.406234144,81549.524624454905,280773.20999999897,549326.39097870199,683113.00768636004,0,0,111991.683873127,33365.831064701997,1629.0783545132199,0,81549.524624454905,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Adams Elementary School,1901,Corvallis SD 509J,27,Adams Elementary School,Regular,Elementary,Not Virtual,Public,431.51,6016358.48599701,13942.5702440198,0,13942.5702440198,3376984.53907438,1174841.3695258,1170333.67334006,181567.52514265801,112631.37891411,160829.87782557201,3024847.25,2830681.3581714402,5332746.4027358796,0,0,457337.28555454098,23118.601551166001,42326.318329848902,0,160171.36612801801,658.51169755472404,0,2019-20 School Level Spending Report.xlsx,2020
